;name;splits;OPTIMAL;iv;categorical
0;fb_user_8;[array([1., 0.])];OPTIMAL;0.27774446635601335;Yes
1;fb_user_7;[array([1., 0.])];OPTIMAL;0.06680538885652877;Yes
2;night_pck_user_6;[array([0.]), array([1.])];OPTIMAL;0.012115839866303137;Yes
3;churn;[array([0, 1])];OPTIMAL;0.0;Yes
4;sachet_3g_6;"[array([0]), array([ 1,  2,  3,  4,  5,  6,  7,  9,  8, 11, 10, 15, 12, 14, 19, 13, 18,
       22, 23, 16, 17, 29, 28, 21])]";OPTIMAL;0.0002782808587126522;Yes
5;monthly_2g_6;[array([1]), array([0]), array([2, 3, 4])];OPTIMAL;0.021555370771526344;Yes
6;fb_user_6;[array([1., 0.])];OPTIMAL;0.011480623808046436;Yes
7;date_of_last_rech_8;"[array(['2014-08-31T00:00:00.000000000'], dtype='datetime64[ns]'), array(['2014-08-30T00:00:00.000000000'], dtype='datetime64[ns]'), array(['2014-08-27T00:00:00.000000000'], dtype='datetime64[ns]'), array(['2014-08-29T00:00:00.000000000'], dtype='datetime64[ns]'), array(['2014-08-28T00:00:00.000000000'], dtype='datetime64[ns]'), array(['2014-08-25T00:00:00.000000000'], dtype='datetime64[ns]'), array(['2014-08-24T00:00:00.000000000'], dtype='datetime64[ns]'), array(['2014-08-26T00:00:00.000000000'], dtype='datetime64[ns]'), array(['2014-08-22T00:00:00.000000000', '2014-08-20T00:00:00.000000000',
       '2014-08-23T00:00:00.000000000', '2014-08-19T00:00:00.000000000',
       '2014-08-21T00:00:00.000000000', '2014-08-18T00:00:00.000000000',
       '2014-08-09T00:00:00.000000000', '2014-08-05T00:00:00.000000000',
       '2014-08-14T00:00:00.000000000', '2014-08-15T00:00:00.000000000',
       '2014-08-16T00:00:00.000000000', '2014-08-17T00:00:00.000000000',
       '2014-08-12T00:00:00.000000000', '2014-08-13T00:00:00.000000000',
       '2014-08-08T00:00:00.000000000', '2014-08-06T00:00:00.000000000',
       '2014-08-11T00:00:00.000000000', '2014-08-07T00:00:00.000000000',
       '2014-08-10T00:00:00.000000000', '2014-08-01T00:00:00.000000000',
       '2014-08-02T00:00:00.000000000', '2014-08-04T00:00:00.000000000',
       '2014-08-03T00:00:00.000000000'], dtype='datetime64[ns]')]";OPTIMAL;0.9985290998479943;Yes
8;monthly_3g_7;[array([0]), array([ 1,  2,  3,  4,  5,  6,  7,  8,  9, 11, 16, 14, 12, 10])];OPTIMAL;0.008645983342659055;Yes
9;sachet_2g_8;"[array([1]), array([0]), array([ 2,  3,  4,  5,  6,  7,  8,  9, 10, 11, 12, 14, 13, 15, 16, 18, 19,
       17, 20, 24, 22, 25, 21, 29, 27, 32, 34, 23, 26, 31, 33, 44])]";OPTIMAL;0.13993031710868065;Yes
